"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Postsecondary
Readiness",,"US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
1902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,593,49.70%,1.30%,B,87,B,87,B,87,C,78,B,87,B,86,,,,,,,,Not Earned,,,,,,,,
1902,CAYUGA ISD,1902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,171,44.40%,1.80%,A,97,A,96,A,94,B,88,A,94,A,98,,,Earned,Earned,Earned,Not Earned,Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1902,CAYUGA ISD,1902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06-אוג,No,No,166,47%,0.60%,B,85,B,85,B,85,C,79,B,85,B,86,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1902,CAYUGA ISD,1902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,256,55.10%,1.60%,C,75,C,77,C,79,D,62,C,79,D,67,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,194",59%,2.90%,B,83,B,85,B,85,C,70,B,85,C,78,,,,,,,,Not Earned,,,,,,,,
1903,ELKHART ISD,1903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,315,47%,1.30%,A,92,A,92,B,89,B,81,B,89,A,91,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,1903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06-אוג,No,No,270,57%,1.90%,B,83,B,84,B,87,D,65,B,87,C,72,,,Earned,Earned,Earned,Earned,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,1903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,327,68.50%,4%,C,77,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,1903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03-מאי,No,No,282,63.10%,4.60%,C,77,C,77,B,80,D,62,B,80,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,801,58.80%,4.40%,B,88,B,88,A,90,B,80,A,90,B,84,,,,,,,,Not Earned,,,,,,,,
1904,FRANKSTON ISD,1904001,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,245,49.80%,5.30%,A,94,A,94,A,95,B,88,A,95,A,93,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1904,FRANKSTON ISD,1904041,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06-אוג,No,No,184,62.50%,3.80%,B,81,C,79,B,84,C,70,B,84,C,74,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1904,FRANKSTON ISD,1904102,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,No,372,62.90%,4%,B,86,B,88,B,88,C,79,B,88,B,82,,,Not Earned,Not Earned,Earned,,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1906,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,309,56.30%,2.30%,B,87,B,88,B,89,C,73,B,89,B,82,,,,,,,,Not Earned,,,,,,,,
1906,NECHES ISD,1906002,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,07-דצמ,No,No,140,47.10%,4.30%,A,96,A,96,A,96,B,84,A,96,A,97,,,Not Earned,Earned,Not Earned,Not Earned,Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1906,NECHES ISD,1906102,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 06,No,No,169,63.90%,0.60%,C,70,C,74,C,76,F,54,C,76,F,56,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"3,296",80.40%,17.50%,C,75,C,77,B,80,D,65,B,80,D,63,,,,,,,,Not Earned,,,,,,,,
1907,PALESTINE ISD,1907001,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,997,76.70%,15.20%,B,88,B,88,B,89,D,69,B,89,B,86,,,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,1907041,PALESTINE J H,REGION 07: KILGORE,ANDERSON,Middle School,07-אוג,No,No,493,78.30%,21.30%,C,76,C,72,B,80,C,70,B,80,D,65,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,1907101,NORTHSIDE PRI,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,No,465,80.40%,14.60%,D,61,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,1907102,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,ANDERSON,Elementary,PK - PK,No,No,221,91.90%,10.90%,D,61,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,1907107,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02-מרץ,No,No,447,84.80%,17.40%,D,61,D,64,D,69,Not Rated,.,D,69,F,41,Comprehensive Identified,,Not Earned,Not Earned,,,,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,1907110,STORY INT,REGION 07: KILGORE,ANDERSON,Elementary,04-יונ,No,No,673,80.50%,22.10%,D,61,D,67,C,72,F,56,C,72,F,35,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1908,WESTWOOD ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,414",74.50%,7.50%,D,69,C,72,C,74,C,72,C,74,F,56,,,,,,,,Not Earned,,,,,,,,
1908,WESTWOOD ISD,1908002,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,438,69.20%,9.80%,C,79,B,81,B,82,B,82,B,81,C,72,,,Not Earned,Not Earned,Earned,Not Earned,Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1908,WESTWOOD ISD,1908041,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07-אוג,No,No,205,77.10%,9.30%,B,80,C,74,B,82,B,80,B,82,C,75,,,Not Earned,Earned,Earned,Earned,Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1908,WESTWOOD ISD,1908101,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03-יונ,No,No,408,74%,7.10%,F,52,D,62,D,62,F,57,D,62,F,30,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1908,WESTWOOD ISD,1908102,WESTWOOD PRI,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,No,363,79.90%,4.10%,F,52,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1909,SLOCUM ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,349,51.30%,1.40%,B,86,B,86,B,86,C,79,B,86,B,85,,,,,,,,Not Earned,,,,,,,,
1909,SLOCUM ISD,1909001,SLOCUM H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,93,35.50%,0%,A,94,A,93,A,90,B,82,A,90,A,96,,,Earned,Earned,Earned,Earned,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1909,SLOCUM ISD,1909101,SLOCUM PK - 8,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,No,256,57%,2%,B,82,B,82,B,83,C,78,B,83,C,78,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
2901,ANDREWS ISD,,,REGION 18: MIDLAND,ANDREWS,District,,No,No,"4,185",49.50%,15.80%,C,78,C,79,C,76,D,69,C,76,C,77,,,,,,,,Not Earned,,,,,,,,
2901,ANDREWS ISD,2901001,ANDREWS H S,REGION 18: MIDLAND,ANDREWS,High School,09-דצמ,No,No,"1,161",39.50%,8.90%,A,90,B,89,B,85,D,69,B,85,A,92,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
2901,ANDREWS ISD,2901002,ANDREWS EDUCATION CENTER,REGION 18: MIDLAND,ANDREWS,High School,09-דצמ,Yes,No,50,68%,14%,A,91,D,64,A,91,Not Rated,.,A,91,Not Rated,.,,,,,,,,,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
2901,ANDREWS ISD,2901041,ANDREWS MIDDLE,REGION 18: MIDLAND,ANDREWS,Middle School,06-אוג,No,No,920,49.50%,13.80%,B,80,B,81,B,80,C,78,B,80,C,77,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
2901,ANDREWS ISD,2901101,DEVONIAN EL,REGION 18: MIDLAND,ANDREWS,Elementary,02-מרץ,No,No,635,52.60%,19.10%,C,71,C,72,D,65,Not Rated,.,D,65,D,68,,,Not Earned,Not Earned,,,,Not Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
2901,ANDREWS ISD,2901104,UNDERWOOD EL,REGION 18: MIDLAND,ANDREWS,Elementary,04-מאי,No,No,648,52.60%,17.10%,D,62,D,65,F,58,F,55,F,58,F,56,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
2901,ANDREWS ISD,2901105,CLEARFORK EL,REGION 18: MIDLAND,ANDREWS,Elementary,EE - 01,No,No,771,58.10%,25%,C,71,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
3801,PINEYWOODS COMMUNITY ACADEMY,,,REGION 07: KILGORE,ANGELINA,District,,No,Yes,996,61.20%,6.20%,B,80,B,83,B,84,C,70,B,84,C,72,,,,,,,,Not Earned,,,,,,,,
3801,PINEYWOODS COMMUNITY ACADEMY,3801001,PINEYWOODS COMMUNITY ACADEMY H S,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,No,Yes,257,52.90%,3.50%,A,93,A,93,A,90,B,87,A,90,A,94,,,Earned,Earned,Not Earned,Earned,Earned,Not Earned,,17,17,9,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
3801,PINEYWOODS COMMUNITY ACADEMY,3801042,DR TERRY ROBBINS MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06-אוג,No,Yes,225,60%,7.60%,B,85,B,85,B,89,D,69,B,89,C,75,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,17,17,9,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
3801,PINEYWOODS COMMUNITY ACADEMY,3801103,SARAH STRINDEN EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,Yes,514,66%,7%,D,64,C,72,C,72,F,54,C,72,F,46,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
3902,HUDSON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"2,763",54.10%,7.20%,B,87,B,85,B,87,C,75,B,87,B,86,,,,,,,,Not Earned,,,,,,,,
3902,HUDSON ISD,3902001,HUDSON H S,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,No,No,797,47.80%,5.30%,B,89,B,88,B,88,C,70,B,88,A,92,,,Earned,Earned,Not Earned,Earned,Not Earned,Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3902,HUDSON ISD,3902004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10-דצמ,Yes,No,8,0%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3902,HUDSON ISD,3902041,HUDSON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06-אוג,No,No,646,54.80%,8.40%,B,89,B,88,A,90,B,84,A,90,B,87,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3902,HUDSON ISD,3902101,W F PEAVY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,691,59.20%,6.80%,B,80,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3902,HUDSON ISD,3902102,W H BONNER EL,REGION 07: KILGORE,ANGELINA,Elementary,03-מאי,No,No,621,56.50%,9%,B,80,C,79,B,81,C,71,B,81,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3903,LUFKIN ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"7,119",87.50%,21.40%,B,81,C,77,B,84,C,72,B,84,C,75,,,,,,,,Not Earned,,,,,,,,
3903,LUFKIN ISD,3903001,LUFKIN H S,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,No,No,"2,134",84.80%,15.30%,B,87,B,85,B,89,C,77,B,89,B,82,,,Earned,Earned,Earned,Earned,Earned,Earned,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10-דצמ,Yes,No,35,88.60%,5.70%,B,86,C,75,B,86,Not Rated,.,B,86,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
3903,LUFKIN ISD,3903044,LUFKIN MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06-אוג,No,No,"1,487",89.30%,25%,C,79,C,74,B,85,D,64,B,85,D,66,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Earned,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903120,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03-מאי,No,No,243,89.70%,13.60%,B,86,C,74,B,85,B,85,B,83,B,89,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3903,LUFKIN ISD,3903121,BRANDON EL,REGION 07: KILGORE,ANGELINA,Elementary,03-מאי,No,No,394,70.60%,6.90%,B,82,B,80,B,86,C,78,B,86,C,71,,,Earned,Not Earned,Not Earned,,Not Earned,Earned,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903122,BROOKHOLLOW EL,REGION 07: KILGORE,ANGELINA,Elementary,03-מאי,No,No,250,97.20%,10%,D,69,F,58,D,69,D,69,D,63,C,77,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3903,LUFKIN ISD,3903123,COSTON EL,REGION 07: KILGORE,ANGELINA,Elementary,03-מאי,No,No,204,97.10%,25%,D,69,D,67,C,75,D,66,C,75,D,69,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3903,LUFKIN ISD,3903124,DUNBAR PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,383,78.90%,7%,B,82,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903125,GARRETT PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,349,100%,26.90%,B,81,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
3903,LUFKIN ISD,3903127,HERTY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,262,93.10%,19.10%,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903128,KURTH PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,231,92.20%,12.10%,B,86,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3903,LUFKIN ISD,3903129,SLACK EL,REGION 07: KILGORE,ANGELINA,Elementary,02-מאי,No,No,520,86.30%,54.20%,D,69,D,67,C,73,D,68,C,73,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903130,TROUT PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,252,94.80%,9.90%,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903131,BURLEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,369,86.40%,49.30%,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3903,LUFKIN ISD,3903201,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08-נוב,Yes,No,6,100%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,SPECIAL ASSIGNMENT SCHOOL
3904,HUNTINGTON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,592",59%,1.30%,C,74,C,76,C,78,C,78,C,76,D,66,,,,,,,,Not Earned,,,,,,,,
3904,HUNTINGTON ISD,3904001,HUNTINGTON H S,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,No,No,499,52.10%,1.40%,B,80,C,78,B,85,B,85,C,79,D,68,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3904,HUNTINGTON ISD,3904005,PRIDE ALTER SCH,REGION 07: KILGORE,ANGELINA,High School,11-דצמ,Yes,No,13,61.50%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3904,HUNTINGTON ISD,3904041,HUNTINGTON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06-אוג,No,No,371,53.90%,1.90%,B,83,B,81,B,82,B,81,B,82,B,85,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3904,HUNTINGTON ISD,3904101,HUNTINGTON EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 03,No,No,481,66.50%,0.80%,F,50,F,58,F,57,Not Rated,.,F,57,F,30,Comprehensive Identified,TRUE,Not Earned,Not Earned,,,,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3904,HUNTINGTON ISD,3904102,HUNTINGTON INT,REGION 07: KILGORE,ANGELINA,Elementary,04-מאי,No,No,228,66.70%,0.90%,D,66,C,72,C,72,F,56,C,72,F,51,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3905,DIBOLL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,668",68%,15.10%,B,80,C,79,B,81,D,66,B,81,C,77,,,,,,,,Not Earned,,,,,,,,
3905,DIBOLL ISD,3905001,DIBOLL H S,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,No,No,520,56.30%,19%,B,85,B,86,B,83,D,62,B,83,B,81,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3905,DIBOLL ISD,3905004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11-דצמ,Yes,No,5,0%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
3905,DIBOLL ISD,3905041,DIBOLL J H,REGION 07: KILGORE,ANGELINA,Middle School,06-אוג,No,No,349,71.10%,15.20%,B,83,C,75,B,82,C,72,B,82,B,84,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3905,DIBOLL ISD,3905101,H G TEMPLE EL,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,314,73.90%,13.10%,C,73,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3905,DIBOLL ISD,3905102,DIBOLL PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,133,85%,7.50%,C,73,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3905,DIBOLL ISD,3905103,H G TEMPLE INT,REGION 07: KILGORE,ANGELINA,Elementary,03-מאי,No,No,347,71.80%,14.10%,C,73,C,72,C,76,D,66,C,76,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3906,ZAVALLA ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,320,70.60%,0%,B,83,B,80,B,83,F,58,B,83,B,82,,,,,,,,Not Earned,,,,,,,,
3906,ZAVALLA ISD,3906001,ZAVALLA H S,REGION 07: KILGORE,ANGELINA,Elem/Secondary,06-דצמ,No,No,159,61.60%,0%,B,85,B,83,B,85,F,58,B,85,B,86,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3906,ZAVALLA ISD,3906101,ZAVALLA EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 05,No,No,161,79.50%,0%,C,76,C,72,C,79,F,58,C,79,D,69,,,Earned,Not Earned,Not Earned,,Not Earned,Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3907,CENTRAL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,461",63.70%,5.50%,C,79,B,80,B,81,D,62,B,81,C,75,,,,,,,,Not Earned,,,,,,,,
3907,CENTRAL ISD,3907001,CENTRAL H S,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,No,No,384,58.30%,2.60%,A,90,A,90,B,89,F,57,B,89,A,90,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3907,CENTRAL ISD,3907004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,09-דצמ,Yes,No,5,80%,0%,A,90,A,90,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3907,CENTRAL ISD,3907041,CENTRAL J H,REGION 07: KILGORE,ANGELINA,Middle School,05-אוג,No,No,440,61.80%,5.20%,C,72,C,74,C,75,D,65,C,75,D,65,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
3907,CENTRAL ISD,3907102,CENTRAL EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 04,No,No,632,68%,7.40%,C,75,C,74,C,78,D,66,C,78,D,68,,,Not Earned,Not Earned,,,Not Earned,Not Earned,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
4901,ARANSAS COUNTY ISD,,,REGION 02: CORPUS CHRISTI,ARANSAS,District,,No,No,"3,043",68.90%,5.70%,C,76,C,74,C,77,C,76,C,77,C,75,,,,,,,,Not Earned,,,,,,,,
4901,ARANSAS COUNTY ISD,4901001,ROCKPORT-FULTON H S,REGION 02: CORPUS CHRISTI,ARANSAS,High School,09-דצמ,No,No,950,63.40%,5.10%,B,85,B,82,B,86,B,81,B,86,B,81,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,27,27,32,32,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
